Block,Block Description,Item No,Item Description,Quantity
822423 0003,FRAME PLATE COMPLETE,32383066 01,PAINT <<EHS APPROVED>>,1
822423 0003,FRAME PLATE COMPLETE,82302521 01,FRAME PLATE BURN,1
822424 0001,PRESSURE PLATE COMPLETE,32383066 01,PAINT <<EHS APPROVED>>,1
822424 0001,PRESSURE PLATE COMPLETE,82302523 01,PRESSURE PLATE BURN,1
82300703 07,LINER WELD ASSEMBLY,1625111 06,LINER RING,4
82300703 07,LINER WELD ASSEMBLY,82300515 20,MTR PORT LINER,4
MSI0000445,CARRYING/GUIDE BAR,822121 0001,CARRYING/GUIDE BAR,1
MSI0000446,CARRYING/GUIDE BAR,822121 0002,CARRYING/GUIDE BAR,1
MSI0001130,T-BOLT,822075 0002,T-BOLT,8
MSI0001669,END PLATE I (WIDE),3900840413 06,GASKET,1
MSI0001669,END PLATE I (WIDE),3900840414 06,GASKET,1
MSI0001669,END PLATE I (WIDE),3903001978 16,METALLIC COMPLETE,1
MSI0001712,END PLATE II (WIDE),3900840414 06,GASKET,1
MSI0001712,END PLATE II (WIDE),3903001978 03,METALLIC COMPLETE,1
MSI0002555,CHANNEL PLATE (WIDE),3900840413 06,GASKET,9
MSI0002555,CHANNEL PLATE (WIDE),3903001971 03,METALLIC COMPLETE,9
MSI0003331,CHANNEL PLATE (WIDE),3900840413 06,GASKET,2
MSI0003331,CHANNEL PLATE (WIDE),3903001990 03,METALLIC COMPLETE,2
MSI0004793,FRAME PLATE,822423 0003,FRAME PLATE COMPLETE,1
MSI0004797,PRESSURE PLATE,822424 0001,PRESSURE PLATE COMPLETE,1
MV00000524,DECAL SHROUD GHOST,GHOST,GHOST,2
MV00000534,DECAL AHRI CERTIFICATION,3350008069,DECAL,1
MV00001122,FOOT MULTI-USE,82300048 01,FOOT MULTI-USE,2
MV00001156,EXTRA - NAME PLATE <<ACT>>,GHOST,GHOST,1
MV00001287,FASTENER HARDWARE,2210462 29,BOLT HEX HEAD,2
MV00001287,FASTENER HARDWARE,70490,FLAT WASHER,2
MV00001306,FASTENER HARDWARE,34503323 01,BOLT SOCKET HEAD,4
MV00001307,FASTENER HARDWARE,221803 34,NUT HEX HEAD,2
MV00001307,FASTENER HARDWARE,70490,FLAT WASHER,2
MV00001382+,ProtectionTube,1995 101 086,POLY,8
MV00001514,STUD BOLT,1644181 01,STUD,16
MV00001679,T-BOLT GUIDE & THRUST WASHER,223101 55,FLAT WASHER,8
MV00001679,T-BOLT GUIDE & THRUST WASHER,3350023170,GUIDE WASHER LOCKING,8
MV00001680,T-BOLT LOCK WASHER,3350010841,LOCK WASHER TB,8
MV00002035,TIGHTENING NUT,3350026837,TIGHTENING NUT,8
MV00002187,DECAL ALFA LAVAL LOGO,GHOST,GHOST,1
MV00002547,DISTANCE SHEET,82300350 01,DISTANCE SHEET CORNER,4
MV00002558,SHROUD,32380058 01,SHROUD,1
MV00002565*sgy,DRIP TRAY,32387429 02,INSULATED DRIP TRAY,1
MV00002566*atn,PACKING BASE,32383856 01,PALLET,1
MV00002566*atn,PACKING BASE,PALLET C1,PALLET,1
MV00002569,INSTRUCTION MANUAL,32384770 01,MANUAL,1
MV00002704*sgy,INSULATION,32387426 02,INSULATION,1
MV00002816,NAME PLATE,32380175 01,NAME PLATE,1
MV00002816,NAME PLATE,66169,DRIVE SCREW,1
MV00002816,NAME PLATE,82300701 01,DECAL,1
MV00003106,LINER WELD ASSEMBLY,82300703 07,LINER WELD ASSEMBLY,4
MV00003598,PACKING BOX SIDES & TOP,3350020580,BOX SIDES,1
MV00003598,PACKING BOX SIDES & TOP,3350020583,BOX TOP,1
MV00007536,SUPPORT COLUMN,82302270 01,SUPPORT COLUMN,1
